序号,rms,flux_normalized,dominant_bins,centroid,low_high_ratio,peak_count,,,,,,,,,,,,,
291,221.75,12.07,58,2017.8,0.58,23,,,,,,,,,,,,,
292,147.41,5.47,68,2073.2,0.6,26,,,,,,,,,,,,,
293,79.22,1.08,73,2448.7,0.42,25,,,,,,,,,,,,,
294,100.09,0.94,29,2282.5,0.55,10,,,,,,,,,,,,,
295,79.98,0.59,35,2048.3,0.7,13,,,,,,,,,,,,,
296,96.97,0.56,13,2062.1,1.03,2,,,,,,,,,,,,,
297,76.33,1.14,174,3138.5,0.24,90,,,,,,,,,,,,,
298,138.56,2.71,132,3119.4,0.17,61,,,,,,,,,,,,,
299,273.28,9.28,189,3381.8,0.11,87,,,,,,,,,,,,,
300,349.65,47,202,3200,0.13,94,,,,,,,,,,,,,
301,195.05,9.32,73,2815.5,0.17,35,,,,,,,,,,,,,
302,134.06,1.91,192,2939.4,0.27,85,,,,,,,,,,,,,
303,164.49,4.45,89,1622,0.69,39,,,,,,,,,,,,,
304,1514.11,4790.64,74,1322.1,0.57,30,,,,,,,,,,,,,
305,1822.5,385.95,54,857.1,1.77,20,,,,,,,,,,,,,
306,691.41,65.17,41,1113.2,1.66,21,,,,,,,,,,,,,
307,692.39,138.61,69,1111.3,0.97,37,,,,,,,,,,,,,
308,539.73,68.41,50,1524.1,0.57,20,,,,,,,,,,,,,
309,1885.76,635.84,40,1265.2,0.63,19,,,,,,,,,,,,,
310,665.56,654.45,61,1536.3,0.78,30,,,,,,,,,,,,,
311,444.86,24.39,29,1373.1,0.36,11,,,,,,,,,,,,,
312,639.73,58.98,46,1006.5,1.27,23,,,,,,,,,,,,,
313,433.52,46.72,33,1097.9,1.15,18,,,,,,,,,,,,,
314,350.2,11.95,32,1672,0.55,12,,,,,,,,,,,,,
315,104.76,10.76,69,1495.4,0.79,29,,,,,,,,,,,,,
316,63.99,0.96,10,1862.1,0.93,4,,,,,,,,,,,,,
317,714.26,119.37,59,968.8,2.31,20,,,,,,,,,,,,,
318,472.45,24.98,41,1314.5,1.49,12,,,,,,,,,,,,,
319,78.68,0.98,95,2610.7,0.24,42,,,,,,,,,,,,,
320,942.02,146.73,57,989,1.26,24,,,,,,,,,,,,,
321,1210.32,199.77,40,1239.4,0.95,21,,,,,,,,,,,,,
322,370.59,49.32,45,1036,1.79,25,,,,,,,,,,,,,
323,103.3,22.51,124,2081.7,0.45,40,,,,,,,,,,,,,
324,166.52,4.25,74,2604.8,0.2,31,,,,,,,,,,,,,
325,376.5,18.28,15,1499.1,0.27,4,,,,,,,,,,,,,
326,60.44,0.89,72,1769.5,0.91,35,,,,,,,,,,,,,
327,696.99,74.89,45,1227.5,1,20,,,,,,,,,,,,,
328,969.66,167.17,57,1523.5,0.71,25,,,,,,,,,,,,,
329,282.66,154.59,66,1236,0.76,30,,,,,,,,,,,,,
330,65.62,0.58,48,1869,0.37,20,,,,,,,,,,,,,
331,67.91,1,83,1903.5,0.59,41,,,,,,,,,,,,,
332,757.46,63.76,38,1425.4,1.37,12,,,,,,,,,,,,,
333,280.39,82.7,53,1648.1,1.22,17,,,,,,,,,,,,,
334,107.74,5.56,87,2921.7,0.13,39,,,,,,,,,,,,,
335,206.86,31.95,28,1663.5,1.14,6,,,,,,,,,,,,,
336,110.05,1.82,85,2883.9,0.18,28,,,,,,,,,,,,,
337,380.12,33.14,77,1037.8,1.81,25,,,,,,,,,,,,,
338,689.23,293.55,73,1114.6,2.4,30,,,,,,,,,,,,,
339,92.17,14.23,90,1804.3,0.56,38,,,,,,,,,,,,,
340,87.07,1,99,2189,0.31,44,,,,,,,,,,,,,
341,161.57,5.42,94,1009.1,1.94,42,,,,,,,,,,,,,
342,58.87,0.52,53,1277,2.11,23,,,,,,,,,,,,,
343,370.58,33.22,25,1615.6,0.28,13,,,,,,,,,,,,,
344,60.07,2.82,76,1811.8,0.44,32,,,,,,,,,,,,,
345,83.68,0.65,30,1769.3,0.26,9,,,,,,,,,,,,,
346,77.75,1.19,28,1679.2,0.37,11,,,,,,,,,,,,,
347,1252.99,220.33,66,1259.3,1.11,28,,,,,,,,,,,,,
348,1162.32,224.42,41,1039.5,1.39,24,,,,,,,,,,,,,
349,1206.04,95.45,38,1061.3,1.41,19,,,,,,,,,,,,,
350,982.9,116.8,51,1203.2,1.19,24,,,,,,,,,,,,,
351,1042.35,514.52,82,1206,0.76,29,,,,,,,,,,,,,
352,228.82,5.91,48,1315.3,1.59,18,,,,,,,,,,,,,
353,1188.42,212.04,78,1262.7,1.17,30,,,,,,,,,,,,,
354,1280.53,288.63,59,1163.9,1.06,34,,,,,,,,,,,,,
355,454.67,151.34,83,1306.6,1.15,38,,,,,,,,,,,,,
356,80.71,2.36,60,1373.6,0.82,23,,,,,,,,,,,,,
357,56.53,0.55,41,1487.6,0.8,18,,,,,,,,,,,,,
358,85.72,1.78,52,1612.1,0.65,24,,,,,,,,,,,,,
359,58.3,0.93,22,1800.8,0.48,9,,,,,,,,,,,,,
360,56.15,0.44,41,1677.5,0.71,17,,,,,,,,,,,,,
361,767.77,86.65,50,780.8,2.12,26,,,,,,,,,,,,,
362,114.73,4,118,1866.1,0.42,51,,,,,,,,,,,,,
363,59.63,0.4,88,2009.7,0.78,39,,,,,,,,,,,,,
364,135.4,10.91,59,1111.4,2.04,26,,,,,,,,,,,,,
365,213.06,11.22,111,1800.5,0.46,19,,,,,,,,,,,,,
366,107.07,2.71,168,2797.5,0.08,82,,,,,,,,,,,,,
367,55.7,1.77,49,1821.2,0.56,26,,,,,,,,,,,,,
368,946.27,127.43,60,1111.8,1.45,31,,,,,,,,,,,,,
369,251.83,36.8,68,1719.5,0.83,27,,,,,,,,,,,,,
370,114.51,2.25,102,1688.8,0.64,50,,,,,,,,,,,,,
371,66.19,0.71,85,1609.8,0.77,42,,,,,,,,,,,,,
372,150.85,4.35,61,2032.1,0.34,24,,,,,,,,,,,,,
373,305.76,22.59,89,1215.6,1.26,30,,,,,,,,,,,,,
374,584.37,222.93,53,1491.3,1.21,17,,,,,,,,,,,,,
375,116.84,2.24,79,3192.3,0.27,26,,,,,,,,,,,,,
376,609.39,40.67,57,1066.9,1.62,29,,,,,,,,,,,,,
377,954.05,193.2,51,1201.8,1.04,30,,,,,,,,,,,,,
378,488.28,43.56,28,1171.6,2.09,13,,,,,,,,,,,,,
379,280.42,14.03,144,2052.5,0.83,55,,,,,,,,,,,,,
380,1557.94,648.29,30,1255.3,0.89,12,,,,,,,,,,,,,
381,748.02,323.5,63,1385.7,1.09,24,,,,,,,,,,,,,
382,109.57,9.81,96,1296.3,0.84,45,,,,,,,,,,,,,
383,147.09,3,45,1114,2.29,16,,,,,,,,,,,,,
384,564.85,56.5,46,1013.1,1.59,21,,,,,,,,,,,,,
385,444.37,21.96,62,1045,1.88,29,,,,,,,,,,,,,
