序号,rms,flux_normalized,dominant_bins,centroid,low_high_ratio,peak_count,,,,,,,,,,,,,
323,385.76,18.11,41,1156.3,1.52,23,,,,,,,,,,,,,
324,462.84,11.01,48,1403.7,0.85,18,,,,,,,,,,,,,
325,492.05,20.29,28,1412,0.88,12,,,,,,,,,,,,,
326,445.27,30.82,46,1489.5,0.87,23,,,,,,,,,,,,,
327,466.75,22.89,43,1216,1.01,19,,,,,,,,,,,,,
328,354.95,19.07,28,1334.1,1.31,11,,,,,,,,,,,,,
329,404.88,14.12,45,1487.3,0.89,17,,,,,,,,,,,,,
330,539.29,34.35,29,1375.5,0.86,14,,,,,,,,,,,,,
331,353.69,9.64,41,1474,0.93,20,,,,,,,,,,,,,
332,400.45,17.32,45,1438.3,0.79,18,,,,,,,,,,,,,
333,426.97,22.1,30,1301.3,0.86,10,,,,,,,,,,,,,
334,330.97,6.91,28,1425.7,1.17,12,,,,,,,,,,,,,
335,301.4,16.52,27,1709.1,0.78,10,,,,,,,,,,,,,
336,385.61,10.96,26,1377.7,1.2,10,,,,,,,,,,,,,
337,237.14,19.44,39,1473.1,0.91,21,,,,,,,,,,,,,
338,245.86,7.03,64,1554,0.98,29,,,,,,,,,,,,,
339,260.15,20.83,66,1500.3,0.82,32,,,,,,,,,,,,,
340,300.61,14.51,43,1458.2,1.1,20,,,,,,,,,,,,,
341,279.12,7.28,33,1385.5,1.12,11,,,,,,,,,,,,,
342,346.09,14.66,42,1410.7,1.36,20,,,,,,,,,,,,,
343,443.52,14.6,35,1122.6,2.69,14,,,,,,,,,,,,,
344,338.48,9.19,70,1291,1.64,32,,,,,,,,,,,,,
345,443.03,29.66,54,1104.1,2.43,28,,,,,,,,,,,,,
346,383.2,16.94,52,1215.4,2.05,30,,,,,,,,,,,,,
347,311.64,11.79,53,1230.8,1.41,24,,,,,,,,,,,,,
348,315.74,16.94,52,1249.5,1.31,28,,,,,,,,,,,,,
349,324.92,14,40,1591.6,1.32,20,,,,,,,,,,,,,
350,265.72,17.15,39,1630.5,1.32,15,,,,,,,,,,,,,
351,295.29,9.22,28,1497.6,1.52,11,,,,,,,,,,,,,
352,291.44,9.12,58,1328.4,1.51,22,,,,,,,,,,,,,
353,237.94,5.64,45,1478.2,1.31,18,,,,,,,,,,,,,
354,325.98,13.48,47,1150.3,1.84,26,,,,,,,,,,,,,
355,361.71,15.17,46,1407.8,1.91,18,,,,,,,,,,,,,
356,289.45,8.28,51,1218.7,1.72,19,,,,,,,,,,,,,
357,343.29,21.9,54,1883.1,1.59,26,,,,,,,,,,,,,
358,347.59,14.29,48,1220.7,2.06,23,,,,,,,,,,,,,
359,325.4,10.7,88,1841.6,1.07,31,,,,,,,,,,,,,
360,398.59,21.51,50,1664.1,1.29,20,,,,,,,,,,,,,
361,455.73,29.23,64,2337.8,0.63,30,,,,,,,,,,,,,
362,440.4,28.59,68,2505.3,0.69,37,,,,,,,,,,,,,
363,492.31,34.64,111,2974.1,0.4,50,,,,,,,,,,,,,
364,375.17,22.97,130,2474.8,0.58,58,,,,,,,,,,,,,
365,357.34,11.14,46,1433.3,1.44,20,,,,,,,,,,,,,
366,245.24,5.02,34,1578,0.98,18,,,,,,,,,,,,,
367,258.2,7.37,24,1420.8,1.21,11,,,,,,,,,,,,,
368,262.29,10.43,20,1435.8,1.1,9,,,,,,,,,,,,,
369,213.75,5.69,43,1521.4,0.9,17,,,,,,,,,,,,,
370,299.68,10.46,27,1424.1,1.07,10,,,,,,,,,,,,,
371,245.52,10.03,42,1467.1,0.99,19,,,,,,,,,,,,,
372,318.99,4.94,31,1192.7,0.94,14,,,,,,,,,,,,,
373,224.29,8.35,31,1324.4,1.15,15,,,,,,,,,,,,,
374,248.65,2.58,34,1266.9,1.27,12,,,,,,,,,,,,,
375,202.72,5.05,38,1316.8,1.11,16,,,,,,,,,,,,,
376,196.24,5.12,32,1557.1,1.11,13,,,,,,,,,,,,,
377,156.26,16.91,83,1669.7,0.8,34,,,,,,,,,,,,,
378,220.71,3.57,43,1573.4,1.09,19,,,,,,,,,,,,,
379,261.61,7.69,27,1629.5,0.93,12,,,,,,,,,,,,,
380,207.15,3.21,30,1594.8,1.03,14,,,,,,,,,,,,,
381,235.61,10.48,32,1388.9,1,18,,,,,,,,,,,,,
382,200.89,3.88,30,1376.4,1.2,8,,,,,,,,,,,,,
383,182.54,3.73,32,1431.5,0.9,14,,,,,,,,,,,,,
384,177.57,12.62,26,1554.6,0.99,13,,,,,,,,,,,,,
385,129.01,9.13,39,1475.4,1.16,15,,,,,,,,,,,,,
386,565.84,72.95,107,3229,0.16,37,,,,,,,,,,,,,
